Capability ID|Capability|Maturity|Source owner|Consumer|Focused test|Lifecycle test|User doc|Source-to-sink trace
CAP-PGVECTOR-DENSE-SQL|Dense vector SQL type, casts, operators, aggregates|stable|crates/context-pg/src/vector.rs|crates/context-pg/src/table_search.rs|crates/context-pg/src/pg_tests/vector_compatibility.rs#pgvector_dense_input_output_and_dims_cases|crates/context-pg/src/pg_tests/vector_variant_typmods.rs#pgvector_dense_typmods_reject_dimension_mismatches_with_sqlstate|docs/user_guide/api_reference.md|vector input and typmod enforcement feed operators aggregates and table search
CAP-EXACT-SEARCH|Exact vector search over arrays and registered tables|stable|crates/context-pg/src/vector.rs|crates/context-pg/src/table_search.rs|crates/context-pg/src/pg_tests/vector_search.rs#exact_search_returns_ranked_rows_with_stable_tie_breaks|tests/heavy/large_exact_search.sh#large_exact_oracle_match|docs/user_guide/vector_search.md|validated vectors and registered source metadata feed exact scoring and visible ranked rows
CAP-COLLECTIONS|Collections over PostgreSQL source tables|stable|crates/context-pg/src/catalog.rs|crates/context-pg/src/table_search.rs|crates/context-pg/src/pg_tests/collection_catalog.rs#create_collection_records_catalog_metadata|crates/context-pg/src/pg_tests/transaction_rollback.rs#rolled_back_create_collection_leaves_no_catalog_row|docs/user_guide/collections.md|collection catalog metadata resolves authoritative PostgreSQL source relations for consumers
CAP-POINT-MAPPINGS|Point upsert and delete mappings|stable|crates/context-pg/src/points.rs|crates/context-pg/src/table_search.rs|crates/context-pg/src/pg_tests/point_mapping.rs#upsert_points_assigns_stable_point_ids|crates/context-pg/src/pg_tests/transaction_rollback.rs#rolled_back_upsert_points_leaves_no_point_rows|docs/user_guide/collections.md|source keys map to logical point IDs and active mappings gate result hydration
CAP-FILTERS|Filter JSON over ordinary columns and JSONB paths|stable|crates/context-filter/src/lib.rs|crates/context-pg/src/table_search.rs|crates/context-pg/src/pg_tests/count.rs#count_uses_shared_filter_plan_for_ordinary_columns|tests/heavy/rls_acl_boundary.sh#expect_search_denied|docs/user_guide/filters.md|typed filter AST renders bound SQL predicates consumed by exact table queries
CAP-SCROLL-COUNT-FACET|Scroll, count, and facet|stable|crates/context-pg/src/table_search.rs|crates/context-pg/src/lib.rs|crates/context-pg/src/pg_tests/scroll.rs#scroll_returns_stable_point_id_pages|crates/context-pg/src/pg_tests/facet.rs#facet_counts_filtered_column_values_over_active_points|docs/user_guide/api_reference.md|shared visible point and filter plans feed bounded scroll count and facet projections
CAP-HYBRID|Dense plus full-text hybrid query|stable|crates/context-pg/src/hybrid_query.rs|crates/context-hybrid/src/lib.rs|crates/context-pg/src/pg_tests/hybrid_query.rs#hybrid_query_fuses_dense_and_full_text_branches|crates/context-pg/src/pg_tests/hybrid_query.rs#hybrid_query_excludes_deleted_points_from_both_branches|docs/user_guide/hybrid_retrieval.md|dense and PostgreSQL full-text candidates feed deterministic reciprocal-rank fusion
CAP-OBSERVABILITY|Telemetry and operational status functions|stable|crates/context-pg/src/operations.rs|crates/context-pg/src/telemetry.rs|crates/context-pg/src/pg_tests/operations.rs#telemetry_reports_collection_rollups|crates/context-pg/src/pg_tests/query_stats.rs#telemetry_surfaces_do_not_store_vectors_payloads_filters_or_query_text|docs/user_guide/operations.md|manual bounded counters and typed status sources feed SQL diagnostics; automatic execution recording remains FLOOR-AUTOMATIC-OBSERVABILITY
CAP-MODEL-MIGRATIONS|Model versions and embedding migrations|stable|crates/context-pg/src/model_versions.rs|crates/context-pg/src/embedding_migrations.rs|crates/context-pg/src/pg_tests/embedding_migrations.rs#embedding_migration_tracks_backfill_progress|crates/context-pg/src/pg_tests/embedding_migrations.rs#embedding_migration_rejects_progress_past_total|docs/user_guide/collections.md|registered model versions constrain migration records and bounded progress updates
CAP-HNSW-AM|HNSW access method|experimental|crates/context-pg/src/hnsw_am.rs|crates/context-pg/src/table_search.rs|crates/context-pg/src/pg_tests/vector_variant_compatibility.rs#non_dense_hnsw_opclasses_match_exact_oracles_with_bounded_candidates|tests/heavy/crash_restart_hnsw.sh#bit_jaccard|docs/user_guide/indexes.md|metric-bound PostgreSQL AM callbacks persist dense half sparse and bit graph pages for L2 negative-inner-product cosine L1 Hamming or Jaccard; ordered scans consume bounded graph candidates and exact-recheck float8 Jaccard ordering
CAP-FILTERED-ANN|Filtered ANN serving|experimental|crates/context-pg/src/table_search.rs|crates/context-pg/src/hnsw_am.rs|crates/context-pg/src/pg_tests/hnsw_serving.rs#hnsw_mask_candidate_limit_guc_raises_the_masked_scan_budget_above_the_default|tests/heavy/filtered_ann_recall.sh#filtered_ann_public_tenant_recheck_passing|docs/user_guide/vector_search.md|the public JSON-filter search resolves an attached HNSW index, materializes bounded filter-matching heap-TID batches, traverses persisted graph pages with reusable masks, then rechecks visible point mappings, predicates, and exact scores against authoritative source rows
CAP-PGVECTOR-HALFVEC|SQL halfvec|experimental|crates/context-pg/src/vector_variants.rs|crates/context-pg/src/hnsw_am.rs|crates/context-pg/src/pg_tests/vector_variant_compatibility.rs#non_dense_hnsw_opclasses_match_exact_oracles_with_bounded_candidates|tests/heavy/crash_restart_hnsw.sh#half_cosine|docs/user_guide/pgvector_migration.md|half precision SQL values feed exact operators aggregates and explicit L2 inner-product cosine and L1 ANN opclasses
CAP-PGVECTOR-SPARSEVEC|SQL sparsevec|experimental|crates/context-pg/src/vector_variants.rs|crates/context-pg/src/hnsw_am.rs|crates/context-pg/src/pg_tests/vector_variant_compatibility.rs#non_dense_hnsw_opclasses_match_exact_oracles_with_bounded_candidates|tests/heavy/crash_restart_hnsw.sh#sparse_cosine|docs/user_guide/vector_search.md|canonical sparse values feed exact metrics named table search and explicit L2 inner-product cosine and L1 ANN opclasses
CAP-PGVECTOR-BIT|SQL bit vectors|experimental|crates/context-pg/src/vector_variants.rs|crates/context-pg/src/hnsw_am.rs|crates/context-pg/src/pg_tests/vector_variant_compatibility.rs#non_dense_hnsw_opclasses_match_exact_oracles_with_bounded_candidates|tests/heavy/crash_restart_hnsw.sh#bit_jaccard|docs/user_guide/pgvector_migration.md|checked bit values feed exact Hamming and Jaccard SQL plus explicit metric-bound ANN opclasses with exact Jaccard order-by recheck
CAP-QUANTIZATION|SQL quantization APIs|experimental|crates/context-pg/src/quantization_sql.rs|crates/context-pg/src/hnsw_am/options.rs|crates/context-pg/src/pg_tests/quantization.rs#quantization_sql_binary_scalar_and_product_good_paths|crates/context-pg/src/pg_tests/hnsw_am.rs#hnsw_quantized_scalar_index_options_are_persisted|docs/user_guide/indexes.md|quantizers emit checked codes while exact rerank consumes original vectors
CAP-NAMED-DENSE|Named dense vector registration and search|stable|crates/context-pg/src/vector_catalog.rs|crates/context-pg/src/table_search/named.rs|crates/context-pg/src/pg_tests/vector_registration.rs#register_vector_records_checked_vector_column_metadata|crates/context-pg/src/pg_tests/client_examples.rs#named_dense_sparse_vector_example_uses_current_sql_surfaces|docs/user_guide/collections.md|registered name column dimension and metric resolve the selected dense search consumer
CAP-VECTOR-CONFIG|Per-vector dense index and quantization metadata|experimental|crates/context-pg/src/vector_catalog.rs|crates/context-pg/src/table_search/named.rs|crates/context-pg/src/pg_tests/vector_registration.rs#configure_vector_records_per_vector_options_and_status|crates/context-pg/src/pg_tests/vector_registration.rs#configure_vector_rejects_invalid_metadata_with_sqlstates|docs/user_guide/collections.md|validated per-vector metadata is stored; build-to-scan consumption remains post-V1 work under the public Quantized HNSW roadmap section
